tic,toc,method,size,elapsed
7.133,53.786,exact,12649,46.653
53.786,79.43,mc,12649,25.644000000000005
79.761,84.305,exact,4000,4.544000000000011
84.306,87.066,mc,4000,2.760000000000005
87.194,87.202,exact,40,0.007999999999995566
87.202,87.562,mc,40,0.35999999999999943
87.69500000000001,88.146,exact,1265,0.4509999999999934
88.146,88.732,mc,1265,0.5859999999999985
88.86,88.876,exact,126,0.016000000000005343
88.876,89.237,mc,126,0.36099999999999
89.35900000000001,89.41,exact,400,0.05099999999998772
89.41,89.799,mc,400,0.38900000000001
6.5520000000000005,53.169000000000004,exact,12649,46.617000000000004
53.169000000000004,78.777,mc,12649,25.607999999999997
78.906,78.943,exact,40,0.03699999999999193
78.943,79.304,mc,40,0.3610000000000042
79.618,84.156,exact,4000,4.538000000000011
84.156,86.915,mc,4000,2.7590000000000003
87.047,87.09700000000001,exact,400,0.05000000000001137
87.09700000000001,87.477,mc,400,0.37999999999999545
87.592,87.60300000000001,exact,126,0.01100000000000989
87.60300000000001,87.965,mc,126,0.36199999999999477
88.09700000000001,88.549,exact,1265,0.4519999999999982
88.549,89.136,mc,1265,0.5869999999999891
4.489,4.922,exact,40,0.43299999999999983
4.922,6.22,mc,40,1.298
6.353,6.394,exact,126,0.04100000000000037
6.394,6.759,mc,126,0.3650000000000002
6.899,7.353,exact,1265,0.45399999999999974
7.353,7.961,mc,1265,0.6080000000000005
8.298,12.94,exact,4000,4.6419999999999995
12.941,15.688,mc,4000,2.747
15.819,15.869,exact,400,0.049999999999998934
15.870000000000001,16.248,mc,400,0.3780000000000001
18.476,64.543,exact,12649,46.06700000000001
64.543,88.69200000000001,mc,12649,24.149
4.591,9.401,exact,4000,4.81
9.402000000000001,13.683,mc,4000,4.280999999999999
13.832,14.298,exact,1265,0.4659999999999993
14.298,14.923,mc,1265,0.625
17.167,62.999,exact,12649,45.832
62.999,87.145,mc,12649,24.145999999999994
87.273,87.324,exact,400,0.05100000000000193
87.324,87.70100000000001,mc,400,0.37700000000000955
87.81400000000001,87.821,exact,40,0.006999999999990791
87.821,88.177,mc,40,0.35600000000000875
88.291,88.302,exact,126,0.01100000000000989
88.302,88.662,mc,126,0.35999999999999943
4.444,4.871,exact,40,0.4270000000000005
4.871,6.154,mc,40,1.2829999999999995
8.383000000000001,53.606,exact,12649,45.223
53.606,77.752,mc,12649,24.145999999999994
77.885,77.897,exact,126,0.012000000000000455
77.897,78.26,mc,126,0.36299999999999955
78.373,78.422,exact,400,0.04899999999999238
78.422,78.801,mc,400,0.3790000000000049
79.119,83.584,exact,4000,4.465000000000003
83.58500000000001,86.34700000000001,mc,4000,2.7620000000000005
86.492,86.94200000000001,exact,1265,0.45000000000000284
86.94200000000001,87.527,mc,1265,0.5849999999999937
4.438,4.868,exact,40,0.4300000000000006
4.868,6.149,mc,40,1.2809999999999997
6.471,10.905,exact,4000,4.433999999999999
10.905,13.65,mc,4000,2.745000000000001
13.781,13.83,exact,400,0.04899999999999949
13.83,14.209,mc,400,0.37899999999999956
14.342,14.788,exact,1265,0.44599999999999973
14.788,15.372,mc,1265,0.5839999999999996
15.515,15.525,exact,126,0.009999999999999787
15.526,15.885,mc,126,0.359
18.115000000000002,63.637,exact,12649,45.522
63.637,87.781,mc,12649,24.144000000000005
4.521,4.995,exact,400,0.4740000000000002
4.995,6.389,mc,400,1.3940000000000001
6.5120000000000005,6.548,exact,40,0.03599999999999959
6.548,6.909,mc,40,0.36099999999999977
9.137,55.229,exact,12649,46.092
55.229,79.38,mc,12649,24.150999999999996
79.533,79.983,exact,1265,0.45000000000000284
79.983,80.574,mc,1265,0.590999999999994
80.703,80.71600000000001,exact,126,0.01300000000000523
80.71600000000001,81.07900000000001,mc,126,0.36299999999999955
81.394,85.83800000000001,exact,4000,4.444000000000003
85.83800000000001,88.59100000000001,mc,4000,2.753
4.491,4.923,exact,126,0.4320000000000004
4.923,6.237,mc,126,1.314
6.376,6.458,exact,400,0.08199999999999985
6.458,6.852,mc,400,0.39400000000000013
9.18,61.146,exact,12649,51.966
61.146,85.3,mc,12649,24.153999999999996
85.637,90.223,exact,4000,4.5859999999999985
90.223,92.97500000000001,mc,4000,2.7520000000000095
93.124,93.58500000000001,exact,1265,0.46100000000001273
93.58500000000001,94.171,mc,1265,0.5859999999999985
94.298,94.308,exact,40,0.010000000000005116
94.308,94.667,mc,40,0.35899999999999466
6.583,52.918,exact,12649,46.335
52.918,78.53,mc,12649,25.612000000000002
78.661,78.741,exact,400,0.0799999999999983
78.741,79.119,mc,400,0.3780000000000001
79.254,79.7,exact,1265,0.44599999999999795
79.7,80.287,mc,1265,0.5870000000000033
80.411,80.426,exact,126,0.015000000000000568
80.426,80.788,mc,126,0.36199999999999477
80.902,80.909,exact,40,0.007000000000005002
80.909,81.267,mc,40,0.3579999999999899
81.59100000000001,86.062,exact,4000,4.470999999999989
86.062,88.82300000000001,mc,4000,2.76100000000001
4.492,5.376,exact,1265,0.8840000000000003
5.376,7.434,mc,1265,2.058
7.566,7.598,exact,40,0.03200000000000003
7.598,7.96,mc,40,0.3620000000000001
10.214,56.457,exact,12649,46.243
56.457,80.609,mc,12649,24.151999999999994
80.747,80.798,exact,400,0.05100000000000193
80.798,81.18,mc,400,0.382000000000005
81.496,85.91,exact,4000,4.4140000000000015
85.91,88.655,mc,4000,2.7450000000000045
88.78,88.791,exact,126,0.01099999999999568
88.791,89.151,mc,126,0.35999999999999943
6.4670000000000005,51.934000000000005,exact,12649,45.467000000000006
51.934000000000005,77.528,mc,12649,25.594
77.674,78.151,exact,1265,0.47699999999998965
78.151,78.737,mc,1265,0.5859999999999985
78.855,78.871,exact,126,0.015999999999991132
78.871,79.236,mc,126,0.3650000000000091
79.346,79.35300000000001,exact,40,0.007000000000005002
79.354,79.71300000000001,mc,40,0.35900000000000887
80.036,84.54,exact,4000,4.504000000000005
84.54,87.287,mc,4000,2.747
87.416,87.465,exact,400,0.049000000000006594
87.46600000000001,87.84400000000001,mc,400,0.3780000000000001
6.5,52.625,exact,12649,46.125
52.625,78.229,mc,12649,25.604
78.377,78.856,exact,1265,0.4789999999999992
78.856,79.44200000000001,mc,1265,0.5860000000000127
79.569,79.58500000000001,exact,126,0.016000000000005343
79.58500000000001,79.946,mc,126,0.36099999999999
80.06,80.06700000000001,exact,40,0.007000000000005002
80.06700000000001,80.425,mc,40,0.3579999999999899
80.739,85.21600000000001,exact,4000,4.477000000000004
85.21600000000001,87.97500000000001,mc,4000,2.7590000000000003
88.104,88.154,exact,400,0.04999999999999716
88.154,88.534,mc,400,0.38000000000000966
4.462,4.892,exact,40,0.4300000000000006
4.892,6.172,mc,40,1.2799999999999994
6.327,6.814,exact,1265,0.4870000000000001
6.814,7.441,mc,1265,0.6269999999999998
7.569,7.619,exact,400,0.04999999999999982
7.619,8.002,mc,400,0.3830000000000009
8.322000000000001,12.921000000000001,exact,4000,4.599
12.921000000000001,15.663,mc,4000,2.741999999999999
15.794,15.805,exact,126,0.010999999999999233
15.805,16.166,mc,126,0.36100000000000065
18.392,63.989000000000004,exact,12649,45.59700000000001
63.989000000000004,88.132,mc,12649,24.143
4.718,9.579,exact,4000,4.861000000000001
9.579,13.853,mc,4000,4.273999999999999
16.097,62.323,exact,12649,46.226
62.323,86.47800000000001,mc,12649,24.15500000000001
86.60900000000001,86.622,exact,126,0.012999999999991019
86.622,86.983,mc,126,0.3610000000000042
87.098,87.148,exact,400,0.04999999999999716
87.148,87.528,mc,400,0.38000000000000966
